Kauno Tirkiliškių lopšelis-darželis	Aleksoto seniūnija	Tirkili%C5%A1ki%C5%B3%20g.%2047%2C%20LT-46458%2C%20Kaunas	49	185
Kauno lopšelis-darželis „Vaikystė“	Dainavos seniūnija	Partizan%C5%B3%20g.%2042%2C%20LT-49484%2C%20Kaunas	66	188
Kauno lopšelis-darželis „Varpelis“	Eigulių seniūnija	S.%20%C5%BDukausko%20g.%2017%2C%20LT-49311%2C%20Kaunas	60	62
Kauno lopšelis-darželis „Vilnelė“	Vilijampolės seniūnija	Vytenio%20g.%208%2C%20LT-48417%2C%20Kaunas	0	73
Kauno lopšelis-darželis „Vyturėlis“	Eigulių seniūnija	Kalnie%C4%8Di%C5%B3%20g.%20214%2C%20LT-49409%2C%20Kaunas	64	87
Kauno lopšelis-darželis „Žara“	Eigulių seniūnija	A%C5%A1igalio%20g.%2013%2C%20LT-49157%2C%20Kaunas	39	74
Kauno lopšelis-darželis „Želmenėlis“	Dainavos seniūnija	V.%20Kr%C4%97v%C4%97s%20pr.%2095%2C%20LT-50367%2C%20Kaunas	40	153
Kauno lopšelis-darželis „Žemyna“	Eigulių seniūnija	Kalnie%C4%8Di%C5%B3%20g.%20257%2C%20LT-49336%2C%20Kaunas	40	68
Kauno lopšelis-darželis „Židinėlis“	Vilijampolės seniūnija	Pikulo%20g.%2031%2C%20LT-48428%2C%20Kaunas	20	128
Kauno lopšelis-darželis „Žilvitis“	Šančių seniūnija	Hipodromo%20g.%2070%2C%20LT-45150%2C%20Kaunas	50	40
Kauno lopšelis-darželis „Volungėlė“	Šilainių seniūnija	Rietavo%20g.%2020%2C%20LT-48256%2C%20Kaunas	71	203
Kauno lopšelis-darželis „Žuvintas“	Gričiupio seniūnija	%C5%BDuvinto%20g.%208%2C%20LT-51420%2C%20Kaunas	22	33
Kauno lopšelis-darželis „Žvangutis“	Šilainių seniūnija	%C5%A0arkuvos%20g.%2021%2C%20LT-48158%2C%20Kaunas	67	273
Kauno 6-asis lopšelis-darželis	Centro seniūnija	A.%20Mickevi%C4%8Diaus%20g.%2054%2C%20LT-44244%2C%20Kaunas	20	8
Kauno Žaliakalnio lopšelis-darželis	Žaliakalnio seniūnija	Savanori%C5%B3%20pr.%20179C%2C%20LT-50117%2C%20Kaunas	20	42
Kauno lopšelis-darželis „Klevelis“	Centro seniūnija	Griunvaldo%20g.%2026a%2C%20LT-44330%2C%20Kaunas	46	55
Kauno lopšelis-darželis „Nežiniukas“	Gričiupio seniūnija	Vakar%C5%B3%20g.%2014%2C%20LT-51307%2C%20Kaunas	20	48
Kauno lopšelis-darželis „Šnekutis“	Panemunės seniūnija	Kari%C5%ABn%C5%B3%20pl.%207%2C%20LT-45432%2C%20Kaunas	40	52
Kauno lopšelis-darželis „Pagrandukas“	Dainavos seniūnija	V.%20Kr%C4%97v%C4%97s%20pr.%2058%2C%20LT-60459%2C%20Kaunas	42	77
Kauno lopšelis-darželis „Radastėlė“	Žaliakalnio seniūnija	Tvirtov%C4%97s%20al.%2086a%2C%20LT-50184%2C%20Kaunas	20	22
Kauno lopšelis-darželis „Eglutė“	Gričiupio seniūnija	A.%20ir%20J.%20Gravrogk%C5%B3%20g.%2011%2C%20LT-51451%2C%20Kaunas	0	26
Kauno lopšelis-darželis „Gandriukas“	Eigulių seniūnija	Ukmerg%C4%97s%20g.%2019%2C%20LT-49318%2C%20Kaunas	63	41
Kauno lopšelis-darželis „Giliukas“	Šilainių seniūnija	Apuol%C4%97s%20g.%2029%2C%20LT-48305%20Kaunas	60	105
Kauno lopšelis-darželis „Kodėlčiukas“	Žaliakalnio seniūnija	S.%20Ra%C5%A1tikio%20g.%2021%2C%20LT-50135%2C%20Kaunas	20	22
Kauno lopšelis-darželis „Žiedelis“	Žaliakalnio seniūnija	M.%20Jankaus%20g.%2040a%2C%20LT-50274%2C%20Kaunas	20	60
Kauno Aleksoto lopšelis-darželis	Aleksoto seniūnija	Antanavos%20g.%2017%2C%20LT-46274%2C%20Kaunas	42	194
Kauno lopšelis-darželis „Vaidilutė“	Dainavos seniūnija	Draugyst%C4%97s%20g.%205c%2C%20LT-51278%2C%20Kaunas	40	43
Kauno lopšelis-darželis „Žingsnelis“	Šilainių seniūnija	Rasyt%C4%97s%20g.%209%2C%20Kaunas%2C%20LT-48131	48	154
Kauno lopšelis-darželis „Malūnėlis“	Gričiupio seniūnija	Kovo%2011-osios%20g.%2048%2C%20LT-51325%2C%20Kaunas	40	85
Kauno lopšelis-darželis „Tukas“	Eigulių seniūnija	Pakra%C5%A1%C4%8Dio%20g.%207a%2C%20LT-49390%2C%20Kaunas	40	90
Kauno lopšelis-darželis "Ežiukas"	Centro seniūnija	A.%20Mapu%20g.%2012%2C%20LT-44284%2C%20Kaunas	21	137
Kauno lopšelis-darželis „Čiauškutis“	Šančių seniūnija	Pranc%C5%ABz%C5%B3%20g.%2068a%2C%20LT-44471%2C%20Kaunas	40	67
Kauno lopšelis-darželis „Kregždutė“	Eigulių seniūnija	P.%20Plechavi%C4%8Diaus%20g.%2021%2C%20LT-49260%2C%20Kaunas	20	56
Kauno Valdorfo darželis „Šaltinėlis“	Gričiupio seniūnija	K.%20Bar%C5%A1ausko%20g.%2084%2C%20LT-51441%2C%20Kaunas	0	111
Kauno lopšelis-darželis „Obelėlė“	Gričiupio seniūnija	K.%20Bar%C5%A1ausko%20g.%2076%2C%20LT-51439%2C%20Kaunas	21	29
Kauno lopšelis-darželis „Šilinukas“	Gričiupio seniūnija	Pa%C5%A1il%C4%97s%20g.%2034%2C%20LT-51358%2C%20Kaunas	40	36
Kauno lopšelis-darželis „Gintarėlis“	Šilainių seniūnija	Baltijos%20g.%2028%2C%20LT-48252%2C%20Kaunas	66	299
